DL-methionine; chemical synthesis; at processing plant
operation of Tandem disk (Disk, tandem light finishing); for growing peanuts; at farm; 105HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing peanuts; at farm; 45HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing peanuts; at farm; 70HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing rice; at farm; 105HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing rice; at farm; 45HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem light finishing); for growing rice; at farm; 70HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing corn; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing corn; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing corn; at farm; 75HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing cotton; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing cotton; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing cotton; at farm; 75HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing oats; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing oats; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing oats; at farm; 75HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing peanuts; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing peanuts; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing peanuts; at farm; 75HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing rice; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing rice; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing rice; at farm; 75HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing soybeans; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing soybeans; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing soybeans; at farm; 75HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing spring wheat; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing spring wheat; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing spring wheat; at farm; 75HP tractor, 11 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing winter wheat; at farm; 120HP tractor, 15 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing winter wheat; at farm; 175HP tractor, 26 ft wide
operation of Tandem disk (Disk, tandem secondary op.); for growing winter wheat; at farm; 75HP tractor, 11 ft wide
operation of Wheat-sorghum grain cart; for harvesting durum wheat; at farm; 190HP tractor, 1000 bu
operation of Wheat-sorghum grain cart; for harvesting durum wheat; at farm; 190HP tractor, 500 bu
operation of Wheat-sorghum grain cart; for harvesting durum wheat; at farm; 190HP tractor, 700 bu
operation of Wheat-sorghum grain cart; for harvesting spring wheat; at farm; 190HP tractor, 1000 bu
operation of Wheat-sorghum grain cart; for harvesting spring wheat; at farm; 190HP tractor, 500 bu
operation of Wheat-sorghum grain cart; for harvesting spring wheat; at farm; 190HP tractor, 700 bu
operation of Wheat-sorghum grain cart; for harvesting winter wheat; at farm; 190HP tractor, 1000 bu
operation of Wheat-sorghum grain cart; for harvesting winter wheat; at farm; 190HP tractor, 500 bu
operation of Wheat-sorghum grain cart; for harvesting winter wheat; at farm; 190HP tractor, 700 bu
paylean 9 g premix;surrogate; at processing plant
peanuts; at harvest; at farm; wet basis
phosphate fertilizer storage; average production mix, at US regional storehouse
piglets; deep pit manure mgmt; at farm
plasma; spray dried; at processing plant
plastic sheeting; at manufacturer
potash fertilizer storage; average production mix, at US regional storehouse
poultry litter application; from broiler breeding; applied on field
poultry litter application; from broilers; applied on field
poultry litter application; from primary breeder; applied on field
poultry meat production; for human consumption; at farm gate; live weight
poultry mortality management; average mix; disposal at farm
poultry rearing; for primary breeding; at primary breeder farm
pullet production; for hatching egg production; at multiplier farm
rice; at harvest; at farm; wet basis
rooster production; for hatching egg production; at multiplier farm
sodium selenite, at plant
soil preparation and planting; for conventional till, corn; at farm; <15% residue
soil preparation and planting; for conventional till, cotton; at farm; <15% residue
soil preparation and planting; for conventional till, oats; at farm; <15% residue
soil preparation and planting; for conventional till, peanuts; at farm; <15% residue
soil preparation and planting; for conventional till, rice; at farm; <15% residue
soil preparation and planting; for conventional till, soybeans; at farm; <15% residue
soil preparation and planting; for mulch till, corn; at farm
soil preparation and planting; for mulch till, cotton; at farm
soil preparation and planting; for mulch till, oats; at farm
soil preparation and planting; for mulch till, peanuts; at farm
soil preparation and planting; for mulch till, rice; at farm
soil preparation and planting; for mulch till, soybeans; at farm
soil preparation and planting; for no till, corn; at farm
soil preparation and planting; for no till, cotton; at farm
soil preparation and planting; for no till, oats; at farm
soil preparation and planting; for no till, peanuts; at farm
soil preparation and planting; for no till, rice; at farm
soil preparation and planting; for no till, soybeans; at farm
soil preparation and planting; for ridge till, corn; at farm
southern bleached softwood kraft pulp process; elemental chlorine free (ECF) bleached; at mill
sow rations; mix with additives
soybean meal production; solvent-extracted; region 3; at soybean processing plant
soybean meal; regional mix with Brazilian soy; at feed compound plant
soybean meal; regional mix; NOPA processing; at farm
soybean meal; solvent-extracted; region 1; at soybean processing plant
soybean meal; solvent-extracted; region 2; at soybean processing plant
soybean meal; solvent-extracted; region 4; at soybean processing plant
soybean meal; solvent-extracted; region 5; at soybean processing plant
soybean production; dry processing; region 3, at farm
soybeans; at harvest; at farm; wet basis
soybeans; dry processing; region 2, at farm
soybeans; dry processing; region 4, at farm
spring wheat, excluding durum; at harvest; at farm; wet basis
trace minerals mixture; swine feed mineral mix; at processing plant
vitamin premix production; cow feed vitamin mix; at processing plant gate
vitamin premix; swine feed vitamin mix; at processing plant gate
wheat flour milling; US average; at wheat mill
winter wheat production; conventional tillage; US average; at regional storage; 14% MC
winter wheat; at harvest; at farm; wet basis
work; ag. tractors for corn harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for corn harvest, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for corn harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for cotton harvest, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for cotton harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for cotton harvest, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for cotton harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for dur wheat harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for dur wheat harvest, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for dur wheat harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing corn, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing corn, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing corn, 2014 fleet, all fuels; 25-50HP
work; ag. tractors for growing corn, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing corn, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing cotton, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing cotton, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing cotton, 2014 fleet, all fuels; 25-50HP
work; ag. tractors for growing cotton, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing cotton, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing cotton, 2014 fleet, all fuels; 600-750HP
work; ag. tractors for growing oats, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing oats, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing oats, 2014 fleet, all fuels; 25-50HP
work; ag. tractors for growing oats, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing oats, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing peanuts, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing peanuts, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing peanuts, 2014 fleet, all fuels; 25-50HP
work; ag. tractors for growing peanuts, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing peanuts, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing rice, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing rice, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing rice, 2014 fleet, all fuels; 25-50HP
work; ag. tractors for growing rice, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing rice, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing soybeans, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing soybeans, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing soybeans, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing soybeans, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing spr wheat, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing spr wheat, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing spr wheat, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing spr wheat, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for growing win wheat, 2014 fleet, all fuels; 100-175HP
work; ag. tractors for growing win wheat, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for growing win wheat, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for growing win wheat, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for oats harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for oats harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for peanuts harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for peanuts harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for rice harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for rice harvest, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for rice harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for soybeans harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for soybeans harvest, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for soybeans harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for spr wheat harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for spr wheat harvest, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for spr wheat harvest, 2014 fleet, all fuels; 50-100HP
work; ag. tractors for win wheat harvest, 2014 fleet, all fuels; 175-300HP
work; ag. tractors for win wheat harvest, 2014 fleet, all fuels; 300-600HP
work; ag. tractors for win wheat harvest, 2014 fleet, all fuels; 50-100HP
work; combines for corn harvest, 2014 fleet, all fuels; 175-300HP
work; combines for dur wheat harvest, 2014 fleet, all fuels; 175-300HP
work; combines for oats harvest, 2014 fleet, all fuels; 175-300HP
work; combines for rice harvest, 2014 fleet, all fuels; 175-300HP
work; combines for soybeans harvest, 2014 fleet, all fuels; 175-300HP
work; combines for spr wheat harvest, 2014 fleet, all fuels; 175-300HP
work; combines for win wheat harvest, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing corn, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing corn, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing corn, 2014 fleet, all fuels; 300-600HP
work; irrigation sets for growing cotton, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing cotton, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing cotton, 2014 fleet, all fuels; 300-600HP
work; irrigation sets for growing oats, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing oats, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing oats, 2014 fleet, all fuels; 300-600HP
work; irrigation sets for growing peanuts, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing peanuts, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing peanuts, 2014 fleet, all fuels; 300-600HP
work; irrigation sets for growing rice, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing rice, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing rice, 2014 fleet, all fuels; 300-600HP
work; irrigation sets for growing soybeans, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing soybeans, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing soybeans, 2014 fleet, all fuels; 300-600HP
work; irrigation sets for growing spr wheat, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing spr wheat, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing spr wheat, 2014 fleet, all fuels; 300-600HP
work; irrigation sets for growing win wheat, 2014 fleet, all fuels; 100-175HP
work; irrigation sets for growing win wheat, 2014 fleet, all fuels; 175-300HP
work; irrigation sets for growing win wheat, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for corn harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for cotton harvest, 2014 fleet, all fuels; 100-175HP
work; other ag. equip. for cotton harvest, 2014 fleet, all fuels; 175-300HP
work; other ag. equip. for cotton harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for dur wheat harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for oats harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for peanuts harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for rice harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for soybeans harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for spr wheat harvest, 2014 fleet, all fuels; 300-600HP
work; other ag. equip. for win wheat harvest, 2014 fleet, all fuels; 300-600HP
work; pumps for growing corn, 2014 fleet, all fuels; 100-175HP
work; pumps for growing cotton, 2014 fleet, all fuels; 100-175HP
work; pumps for growing oats, 2014 fleet, all fuels; 100-175HP
work; pumps for growing peanuts, 2014 fleet, all fuels; 100-175HP
work; pumps for growing rice, 2014 fleet, all fuels; 100-175HP
work; pumps for growing soybeans, 2014 fleet, all fuels; 100-175HP
work; pumps for growing spr wheat, 2014 fleet, all fuels; 100-175HP
work; pumps for growing win wheat, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing corn, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing corn, 2014 fleet, all fuels; 175-300HP
work; sprayers for growing cotton, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing cotton, 2014 fleet, all fuels; 175-300HP
work; sprayers for growing oats, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing oats, 2014 fleet, all fuels; 175-300HP
work; sprayers for growing peanuts, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing peanuts, 2014 fleet, all fuels; 175-300HP
work; sprayers for growing rice, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing rice, 2014 fleet, all fuels; 175-300HP
work; sprayers for growing soybeans, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing soybeans, 2014 fleet, all fuels; 175-300HP
work; sprayers for growing spr wheat, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing spr wheat, 2014 fleet, all fuels; 175-300HP
work; sprayers for growing win wheat, 2014 fleet, all fuels; 100-175HP
work; sprayers for growing win wheat, 2014 fleet, all fuels; 175-300HP
work; swathers for oats harvest, 2014 fleet, all fuels; 100-175HP
work; swathers for oats harvest, 2014 fleet, all fuels; 75-100HP
